label,usia,jumlah_tanggungan,pendidikan,penghasilan_tahunan,tipe_kartu_kredit,lama_nasabah,jumlah_produk,bulan_nonactive,jumlah_kontak,total_limit_kredit,total_limit_kredit_dipakai,sisa_limit_kredit,rasio_transaksi_Q4_Q1 ,total_transaksi,jumlah_transaksi,rasio_jumlah_transaksi_Q4_Q1,rasio_pemakaian,gender_F,gender_M,status_nikah_Married,status_nikah_Single
0,0.0,0.6000000000000001,0.0,0.0,0.0,0.6046511627906976,0.6000000000000001,0.5,0.6666666666666666,0.04694099045580558,0.5991259435836314,0.04257724189902035,0.20694730644686488,0.18438661710037174,0.4462809917355372,0.2469896387566508,0.5070422535211268,1.0,0.0,0.0,1.0
0,0.0,0.2,0.0,0.0,0.0,0.9302325581395349,0.8,0.8333333333333333,0.6666666666666666,0.022785743869737023,0.6233611442193087,0.017651150657932876,0.2078304386223138,0.20017157563625965,0.5702479338842976,0.20078409409129094,0.7203219315895372,0.0,1.0,0.0,1.0
0,0.0,0.4,3.0,0.0,0.0,0.5348837209302325,0.6000000000000001,0.5,0.5,0.008939557466208357,0.39213349225268174,0.021245145208973394,0.2587577274065352,0.2411781527023163,0.4710743801652893,0.2559507140856903,0.5724346076458752,1.0,0.0,0.0,1.0
0,0.0,0.6000000000000001,5.0,1.0,0.0,0.5348837209302325,0.6000000000000001,0.3333333333333333,0.5,0.10120715769234259,0.6023043305522447,0.09437134079183815,0.27671474830733,0.2552473548756077,0.5289256198347108,0.2380285634276113,0.31891348088531185,0.0,1.0,0.0,1.0
0,0.0,0.6000000000000001,3.0,3.0,0.0,0.4651162790697675,0.4000000000000001,0.5,0.3333333333333333,0.06879861659063358,0.8621374652363926,0.04434525534751609,0.15425375331174568,0.05398913354303689,0.20661157024793392,0.1461775413049566,0.5875251509054326,0.0,1.0,0.0,1.0
0,1.0,0.2,3.0,0.0,0.0,1.0,0.8,0.5,0.3333333333333333,0.18736792461386376,0.0,0.22091472958089386,0.23579629084486312,0.19273663139834143,0.4710743801652893,0.22710725287034444,0.0,0.0,1.0,0.0,1.0
0,0.0,0.6000000000000001,3.0,0.0,0.0,0.5348837209302325,0.4000000000000001,0.16666666666666666,0.3333333333333333,0.2670893079023028,0.6583234008740564,0.24931888006492378,0.20900794818957902,0.1869030597655133,0.4958677685950414,0.16549985998319797,0.1619718309859155,1.0,0.0,0.0,1.0
0,0.0,0.4,1.0,0.0,2.0,0.5348837209302325,0.8,0.6666666666666666,0.5,1.0000000000000002,0.7405641636869289,0.9459741464262942,0.19546658816602885,0.1764369459536746,0.34710743801652894,0.2052646317558107,0.054325955734406434,1.0,0.0,0.0,1.0
0,0.0,0.2,5.0,1.0,0.0,0.2558139534883721,1.0000000000000002,0.5,0.3333333333333333,0.27295428642257474,0.7791021056813667,0.24613065909222653,0.20989108036502796,0.12324849871318275,0.45454545454545453,0.18678241388966677,0.18812877263581487,0.0,1.0,0.0,1.0
1,0.0,0.8,2.0,3.0,0.0,0.4418604651162791,0.8,0.3333333333333333,0.5,0.7180577851543487,0.0,0.7296968291693235,0.1374742419782161,0.05850729196454103,0.256198347107438,0.0904508541024923,0.0,0.0,1.0,1.0,0.0
0,0.0,0.4,3.0,0.0,0.0,0.41860465116279066,0.2,0.5,0.3333333333333333,0.3810029113269665,0.8557806912991657,0.3441249782621298,0.31910509272887844,0.05473262796682872,0.15702479338842976,0.3968076169140297,0.1539235412474849,1.0,0.0,0.0,1.0
0,0.0,0.6000000000000001,0.0,2.0,0.0,0.39534883720930236,0.4000000000000001,0.16666666666666666,0.3333333333333333,0.015469636643418383,0.6428287644020659,0.009216856993797462,0.22078304386223138,0.16282527881040892,0.3057851239669422,0.24642957154858583,0.835010060362173,0.0,1.0,1.0,0.0
0,0.0,0.4,3.0,0.0,0.0,0.6046511627906976,0.4000000000000001,0.5,0.5,0.04104578008749097,0.41120381406436235,0.050634745811837,0.19546658816602885,0.24929939948527308,0.5619834710743803,0.2399887986558387,0.3722334004024145,1.0,0.0,1.0,0.0
